ManufacturerName,CustomerName,Customer,City,State,Stockcode,ItemFamily,Amount,PYTD Sales,YTD Growth,% Change,TransferOrNot
Legend,SMITHFIELD PLUMBING & HEATING,SMITHFIELD PLUMBING & HEATING #104860 - GREENVILLE - 11383,GREENVILLE,RI,313-305NL                ,420 - Water Service Fittings        ,$711,$0,$711,,Direct
Legend,M & G SUPPLY,M & G SUPPLY #246600 - WARREN - 164436,WARREN,RI,313-324NL                ,420 - Water Service Fittings        ,$0,$61,($61),-100.0%,Direct
Legend,SMITHFIELD PLUMBING & HEATING,SMITHFIELD PLUMBING & HEATING #104860 - GREENVILLE - 11383,GREENVILLE,RI,313-324NL                ,420 - Water Service Fittings        ,$253,$0,$253,,Direct
Legend,SMITHFIELD PLUMBING & HEATING,SMITHFIELD PLUMBING & HEATING #104860 - TWIN MOUNTAIN - 179862,TWIN MOUNTAIN,RI,313-324NL                ,420 - Water Service Fittings        ,$0,$41,($41),-100.0%,Direct
Legend,M & G SUPPLY,M & G SUPPLY #246600 - EAST PROVIDENCE - 11021,EAST PROVIDENCE,RI,313-325NL                ,420 - Water Service Fittings        ,$75,$0,$75,,Direct
Legend,SMITHFIELD PLUMBING & HEATING,SMITHFIELD PLUMBING & HEATING #104860 - GREENVILLE - 11383,GREENVILLE,RI,313-325NL                ,420 - Water Service Fittings        ,$564,$0,$564,,Direct
Legend,SMITHFIELD PLUMBING & HEATING,SMITHFIELD PLUMBING & HEATING #104860 - TWIN MOUNTAIN - 179862,TWIN MOUNTAIN,RI,313-325NL                ,420 - Water Service Fittings        ,$0,$30,($30),-100.0%,Direct
Legend,WINNELSON,WINSUPPLY - FALL RIVER-#068 - FALL RIVER - 15001,FALL RIVER,MA,313-325NL                ,420 - Water Service Fittings        ,$0,$61,($61),-100.0%,Direct
Legend,WINNELSON,WINSUPPLY - PLYMOUTH-#085 - PLYMOUTH - 187363,PLYMOUTH,MA,313-325NL                ,420 - Water Service Fittings        ,$0,$182,($182),-100.0%,Direct
Legend,ATLANTIC PLBG & HTG - #236300,ATLANTIC PLBG & HTG - #236300 - COVENTRY - 13190,COVENTRY,RI,313-330NL                ,420 - Water Service Fittings        ,$847,$0,$847,,Direct
Legend,"WIT-WAY SUPPLY, INC","WIT-WAY SUPPLY, INC. - ROCHESTER - 12060",ROCHESTER,NH,313-330NL                ,420 - Water Service Fittings        ,$141,$0,$141,,Direct
